OTU_id,Domain,Phylum,Class,Order,Family,Genus,Species
Arch_OTU_1432,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA
Arch_OTU_144,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1440,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1442,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1445,Archaea,Euryarchaeota,Thermoplasmata,NA,NA,NA,NA
Arch_OTU_1486,Archaea,NA,NA,NA,NA,NA,NA
Arch_OTU_1496,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA
Arch_OTU_1498,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_15,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA
Arch_OTU_1500,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA
Arch_OTU_1501,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1509,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_151,Archaea,Nanoarchaeaeota,Nanohaloarchaeia,Deep Sea Euryarchaeotic Group(DSEG),NA,NA,NA
Arch_OTU_1511,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1518,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1521,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,NA,NA,NA
Arch_OTU_1522,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1523,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1527,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,NA,NA,NA
Arch_OTU_1529,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_153,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1536,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1537,Archaea,Thaumarchaeota,Group 1.1c,NA,NA,NA,NA
Arch_OTU_1548,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA
Arch_OTU_1560,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,NA
Arch_OTU_1566,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA
Arch_OTU_158,Archaea,Thaumarchaeota,Group 1.1c,NA,NA,NA,NA
Arch_OTU_1595,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_16,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA
Arch_OTU_1601,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1602,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1604,Archaea,Diapherotrites,Micrarchaeia,NA,NA,NA,NA
Arch_OTU_1605,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1606,Archaea,Diapherotrites,Micrarchaeia,NA,NA,NA,NA
Arch_OTU_167,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,NA,NA,NA
Arch_OTU_1672,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_168,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1687,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA
Arch_OTU_1688,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_169,Archaea,Euryarchaeota,Thermoplasmata,uncultured,NA,NA,NA
Arch_OTU_1690,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA
Arch_OTU_1692,Archaea,Nanoarchaeaeota,Nanohaloarchaeia,Deep Sea Euryarchaeotic Group(DSEG),NA,NA,NA
Arch_OTU_17,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,NA
Arch_OTU_170,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1702,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1708,Archaea,Euryarchaeota,Thermoplasmata,NA,NA,NA,NA
Arch_OTU_1709,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,NA
Arch_OTU_1714,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA
